countryorigin_iso3,2015q1,2015q2,2015q3,2015q4,Total
AFG,0,0,567713,20833,588546
AGO,0,0,11752842,0,11752842
AIA,0,0,1429763,4690247,6120010
ALB,0,138212,947695,3269863,4355770
AND,0,1551437,4748724,9928679,16228840
ANT,40935635,32456819,215604087,104866605,393863146
ARE,11431551322,5646696620,8342974991,4224540856,29645763789
ARG,2034265814,881072869,3759536666,6538448145,13213323494
ARM,0,0,267772,730770,998542
ASM,332513,0,625411,1617296,2575220
ATA,0,0,594836,0,594836
ATF,0,0,2692682,0,2692682
ATG,0,0,0,1309184,1309184
AUS,9928291626,11511142529,9507575278,9056357565,40003366998
AUT,277545663,824561897,1197974124,1486336046,3786417730
AZE,2654770,737227,3200070,403580,6995647
BEL,2570232723,3149865814,3726978977,4570742624,14017820138
BEN,0,0,0,30824,30824
BGD,389564423,325632512,461105608,344143614,1520446157
BGR,309191343,280645773,234352255,434577918,1258767289
BHR,16699764,15861757,35636458,25480357,93678336
BIH,2753530,4924137,18134163,22461876,48273706
BLR,102396905,222415421,109562693,211811854,646186873
BLZ,1271144,2582168,2929994,2478223,9261529
BOL,0,78574,1316648,161439,1556661
BRA,4499313946,3148858224,6820923903,7734163603,22203259676
BRB,60665,0,200872,3743707,4005244
BRN,34677023,56541702,150993342,3955174,246167241
BWA,0,0,55743,0,55743
CAF,0,0,443357,0,443357
CAN,3910780984,6876432530,6559492894,4818628271,22165334679
CHE,4472817400,4122182124,4317356162,4508985341,17421341027
CHL,433292326,442740215,259904669,192302466,1328239676
CHN,140597102378,137224103239,182891830633,190892099172,651605135422
CIV,0,3658244,1050125,5426055,10134424
CMR,2280461,1568342,803306,1801180,6453289
COL,130765388,135296378,156803332,179615032,602480130
CPV,0,0,0,10027,10027
CRI,37746448,47649412,64068811,57784408,207249079
CUB,2885740,1654314,41426937,38305184,84272175
CXR,0,0,902440,791253,1693693
CYM,712756,7025857,24391113,30504538,62634264
CYP,58004796,31234896,15858668,34947300,140045660
CZE,121007355,361676507,867501786,922422007,2272607655
DEU,17283603811,18648834361,30133419280,17974739036,84040596488
DMA,0,0,4406190,0,4406190
DNK,1302171623,1099720654,1410792184,1659491398,5472175859
DOM,117658,2846670,1338150,135364984,139667462
DZA,0,0,147402169,151096158,298498327
ECU,2083741,6726633,96870123,112615328,218295825
EGY,53339281,85756159,61754221,16881782,217731443
ESP,3940002886,5053260363,5411847703,4322128391,18727239343
EST,5236194,6846886,10638165,31993307,54714552
ETH,19385379,4626909,7496956,1535022,33044266
FIN,1839871747,2294855167,2943145950,1658748612,8736621476
FJI,473476,513071,39407,47360332,48386286
FLK,3056506,0,0,0,3056506
FRA,15418483255,6967073736,11988467037,10263891533,44637915561
FRO,1755256,1964737,3490717,0,7210710
FSM,0,0,0,102154,102154
GAB,1580123,0,7829157,881001,10290281
GBR,3613514201,5712720951,7195072027,6182311622,22703618801
GEO,19303378,17572626,9676508,11367989,57920501
GHA,0,2163970,480852,17963031,20607853
GMB,0,0,326710,0,326710
GNQ,103418,0,0,0,103418
GRC,78550603,64854731,120394065,138973260,402772659
GRL,0,2867563,0,0,2867563
GTM,324567,8740884,23253026,15890501,48208978
GUF,0,29039,0,0,29039
GUM,4125960,16918190,25851070,19794221,66689441
GUY,14647583,0,9131188,0,23778771
HKG,10106070971,14965857843,30660673952,30333437593,86066040359
HND,2806306,3973799,38806070,2711067,48297242
HRV,60260365,170970763,30012042,125571395,386814565
HTI,474397,0,46115,144553,665065
HUN,123151777,141405756,101539245,222910986,589007764
IDN,35717431606,40265286655,45549200628,41401926558,162933845447
IND,15245769580,12261233533,18582860379,18166978825,64256842317
IOT,0,326167,0,0,326167
IRL,1656032918,1424859848,1355050355,1199223324,5635166445
IRN,464600937,1223097790,23502745,10658017,1721859489
IRQ,0,180068,333495,0,513563
ISL,43502406,9657721,1778679,6476669,61415475
ISR,416630605,1047623938,1319455171,1626024838,4409734552
ITA,5274252202,5554118168,5444578014,8108693172,24381641556
JAM,5934606,3304446,2799041,1906311,13944404
JOR,61886142,98852996,102629455,35133984,298502577
JPN,38812771914,44799078950,105858962864,115091693695,304562507423
KAZ,0,0,0,4141364,4141364
KEN,253793655,93250630,58958495,40074338,446077118
KGZ,12627560,10325832,3914414,0,26867806
KHM,118713620,188146363,239864555,357859048,904583586
KIR,0,0,23251743,0,23251743
KNA,0,0,83070,0,83070
KOR,43360543137,54880585970,86463291845,82102853072,266807274024
KWT,49399483,4148084201,20392828529,26302240094,50892552307
LAO,518402,4161497,12530746,4190,17214835
LBN,8327844,281180,6755391,4121163,19485578
LBR,0,659593,672929,0,1332522
LBY,495947,52124,0,0,548071
LIE,0,22768474,47212563,30485141,100466178
LKA,608277582,257089548,103119352,97437422,1065923904
LSO,1742543,0,13160,688955,2444658
LTU,34612744,72662757,32439634,50217150,189932285
LUX,34344944,6030055,23383041,25148551,88906591
LVA,549004,12431222,4355250,17072987,34408463
MAC,325514785,159424700,205444238,24773805,715157528
MANY,2628074491,3095080456,4466527678,5436554843,15626237468
MAR,15385069,46486611,45116201,75724769,182712650
MCO,0,0,0,61383,61383
MDA,35809962,8242738,3867852,0,47920552
MDG,94603,498476,371375,589930,1554384
MDV,1664559,929194,1450424,1053194,5097371
MEX,627624321,864127445,1172302290,1738528309,4402582365
MHL,67471273,117417414,10260404,24856891,220005982
MKD,0,0,86640,194890,281530
MLI,0,0,481375,1859300,2340675
MLT,1477334,33358472,122684020,89374051,246893877
MMR,211581052,298666842,177486258,157311926,845046078
MNG,0,4073,892,12109756,12114721
MNP,0,0,17850,34731,52581
MOZ,21779176,21969059,27855411,17533356,89137002
MUS,3076379,5025476,27703971,29420528,65226354
MWI,40566460,17579524,76554146,46046939,180747069
MYS,42255779888,33549591914,43306841496,42629682032,161741895330
NAM,155180,0,14308086,9114315,23577581
NCL,0,0,994870,2920753,3915623
NER,0,0,0,80418,80418
NFK,23513392,5138558,4086670,8206372,40944992
NGA,448317670,810823474,1141672855,451301364,2852115363
NIC,1753665,1963648,3185203,3949583,10852099
NLD,4907328727,5436519252,5680161009,6472621915,22496630903
NOR,527946521,636464972,376863598,343632291,1884907382
NPL,0,0,692524,51485,744009
NRU,0,0,150112,0,150112
NTZ,58460430,71804159,21773338,14575100,166613027
NZL,6525698691,6230960957,5087894324,4050201275,21894755247
OMN,240390298,129701160,84112147,57672534,511876139
PAK,1164066390,1035845961,1783649408,1076006900,5059568659
PAN,4018916,1708351,2789033,107013085,115529385
PER,82112854,64814200,57168528,135736596,339832178
PLW,0,0,654162,0,654162
PNG,879008556,1013404405,1123674554,1546211051,4562298566
POL,443930106,299398354,390728554,286144194,1420201208
PRI,1345340,10701128,55089532,108172819,175308819
PRK,1155235850,1623069933,1251683652,488968161,4518957596
PRT,32482413,27541819,95738785,68708742,224471759
PRY,1461760,41841128,7799480,144158020,195260388
PYF,359750,0,0,0,359750
QAT,9150584695,10091029353,7438887423,3806632486,30487133957
ROU,53166097,35369095,69882647,32106543,190524382
RUS,8418215403,7356561944,5659047238,11503134446,32936959031
RWA,0,0,58770,0,58770
SAU,28887788740,58017821645,45166931780,26824370206,158896912371
SDN,0,0,1866505,0,1866505
SEN,0,0,0,33022,33022
SGP,47922905422,51145417814,64712088034,66319437226,230099848496
SLB,66447940,21628540,339868716,170050897,597996093
SLE,26537,8974,105698,1422141,1563350
SLV,4214590,4052835,3000805,2484788,13753018
SRB,0,922778,10436379,2793252,14152409
SUR,0,0,0,1323213,1323213
SVK,7170690,44442742,35847827,31851600,119312859
SVN,26214285,62694017,54175543,117952026,261035871
SWE,1787642641,1428578572,1949306488,1525031026,6690558727
SWZ,0,3997960,782172,107599,4887731
SYC,127908229,63751695,64895608,28251825,284807357
SYR,0,0,4372548,161601,4534149
TCA,1179955,257393,11668619,153180,13259147
TCD,1218043,0,5103149,0,6321192
TGO,0,0,3952233,15445,3967678
THA,55159486010,54408263773,65627656768,76944045323,252139451874
TJK,0,0,0,1683,1683
TON,0,0,11276837,0,11276837
TTO,0,0,0,3761,3761
TUN,1558166,8939309,37124488,38678418,86300381
TUR,1151273781,1048178217,1348103610,1752743550,5300299158
TWN,45267627719,54377520333,77972760677,67355379220,244973287949
TZA,15381360,27677277,78452765,17862816,139374218
UGA,2308446,765613,51119,3746,3128924
UKR,2139947770,888671729,914019816,3350729046,7293368361
UMI,0,0,0,153037,153037
URY,774957780,1044527093,1467503060,920415280,4207403213
USA,49519502761,62229399976,89082158219,90690074518,291521135474
UZB,0,1314503,0,0,1314503
VEN,11727381,0,2496,80776,11810653
VGB,6240624,42392318,5020216,44470494,98123652
VIR,2147612,1612618,29651,805756,4595637
VNM,13696150315,19766179120,23031505755,25066567110,81560402300
VUT,0,0,62165546,47690229,109855775
WSM,0,0,0,26493,26493
YEM,0,168779,0,163114,331893
ZAF,652523252,592767299,945248670,653652723,2844191944
ZAR,0,65285,182729512,3613885,186408682
ZMB,8292766,26435395,32348410,75552495,142629066
ZWE,25992484,12082231,43934402,10984853,92993970
Total,705109676039,775439837015,1059116836509,1047601025694,3587267375257
